name,value,min,max
nm3,9.60025485644282,1.0,20.0
nm10,6.921382904470241,1.0,20.0
nm4,3.410945647303277,1.0,20.0
wnm2,1.996347675125661e-05,3.0000000000000004e-07,4.9999999999999996e-05
wpm5,1.238582104453734e-05,3.0000000000000004e-07,9.999999999999999e-05
lpm5,1.125164322372653e-06,5.000000000000001e-07,9.999999999999999e-06
wnm0,4.048181313965002e-05,3.0000000000000004e-07,9.999999999999999e-05
lpm0,2.775626680223203e-06,5.000000000000001e-07,9.999999999999999e-06
capv,3.915826310397322e-12,1e-12,1e-11
