run_folder,algorithm,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260825_172933,nsga2,3.2388274482226467,19.12255055823216,3.519609704286535,1.081868675512688e-05,3.7892520184335e-05,6.169454096115065e-06,8.802522038886766e-05,9.281391076568462e-06,9.599534370532683e-12,89.0,106.6,PASS,,
nsga2_20260825_172933,nsga2,7.47999589101123,8.442493690699047,10.507625216390691,1.7872368518808067e-05,5.634897034966992e-05,7.093487535655823e-06,9.934278640407718e-05,7.51149180235619e-06,5.414962014354169e-12,83.69,143.60000000000002,FAIL,,
nsga2_20260825_181403,nsga2,7.214464222061077,8.45544216251895,10.375594257752834,1.7389825319069284e-05,5.663386590054512e-05,7.111188686624308e-06,9.9419632469624e-05,7.6138153066220255e-06,5.825864372047218e-12,83.81,65.27,FAIL,,
nsga2_20260825_181403,nsga2,7.214464222061077,8.45544216251895,9.81840784154749,1.7389825319069284e-05,5.663386590054512e-05,6.560246349085522e-06,9.94876909465856e-05,7.734069439045608e-06,5.825864372047218e-12,84.12,60.2,FAIL,,
nsga2_20260825_181403,nsga2,7.47999589101123,5.341024505749508,12.580488254031415,2.8572060728038622e-05,8.269041023364082e-05,4.520758386054047e-06,9.77054651675896e-05,5.759442748747062e-06,5.438347317732178e-12,85.93,29.969999999999995,FAIL,,
nsga2_20260825_181403,nsga2,7.499920681322235,8.57237653389678,19.10630538311683,2.3871849621779752e-05,5.114647032596112e-05,8.566361473899365e-06,6.320411122728866e-05,7.850510196029824e-06,6.149958899802797e-12,79.98,148.1,FAIL,,
nsga2_20260825_181403,nsga2,7.47999589101123,5.22647408668643,12.580488254031415,2.8572060728038622e-05,7.971913246002389e-05,4.482383506100258e-06,9.92584423442822e-05,5.759442748747062e-06,6.072065033000129e-12,85.24,32.14,FAIL,,
nsga2_20260825_185716,nsga2,3.2388274482226467,18.46555157752716,5.452801734219617,1.3081021612958646e-05,4.882704061861323e-05,6.4038233681979445e-06,7.375084644285896e-05,9.292661996273447e-06,3.723843957269013e-12,89.54,106.29999999999998,PASS,,
nsga2_20260825_185716,nsga2,7.48058851545852,16.639838095831102,10.500259054086689,2.7897592781864252e-05,5.663386590054512e-05,6.617789931269568e-06,9.9419632469624e-05,6.060529511107273e-06,5.414962014354169e-12,82.91,146.9,FAIL,,
nsga2_20260825_185716,nsga2,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.249567802051682e-06,9.977446047897863e-05,7.6138153066220255e-06,5.414962014354169e-12,76.7,148.2,FAIL,,
nsga2_20260825_185716,nsga2,3.499440702462468,18.46555157752716,5.452801734219617,1.29723628103684e-05,6.045555827346244e-05,6.4038233681979445e-06,9.489054882771684e-05,9.292661996273447e-06,5.471538235479816e-12,89.08,106.7,PASS,,
nsga2_20260827_141853,nsga2,6.272966629600457,9.693619715492227,13.822066811912656,3.428641157959137e-05,5.250422785899477e-05,4.911539410358523e-06,5.101034719347641e-05,3.583740721448685e-06,2.553406341359505e-12,81.25,73.78,FAIL,,
nsga2_20260827_141853,nsga2,19.71820679583796,3.9702589437333273,7.400472652669887,2.891529923284232e-05,7.504904115138555e-05,6.093304287090053e-06,3.834041697577566e-05,1.8774496018941592e-06,9.992739339349294e-12,32.31,140.2,FAIL,,
nsga2_20260827_141853,nsga2,3.647676483488625,7.0508891569125645,8.273936138344718,4.3989186449422086e-05,3.075808670108791e-05,9.713388497960056e-06,6.660311992955848e-05,3.979540121124682e-06,3.7771930712567926e-12,78.94,130.09999999999997,FAIL,,
