run_folder,run_id,algorithm,generation,evaluations,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,is_real
nsga2_20260828_001842,20260828_001842,nsga2,1,20,3.647676483488625,18.22404636614561,5.296174239816021,4.270601557030863e-05,3.0839891193552746e-05,9.713388497960056e-06,5.19280710976019e-05,3.5635083082775828e-06,3.541901654482116e-12,51.230000000000004,105.5,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,12.511434920573844,7.341524677667428,13.894326696654716,7.974926001906434e-06,2.520261928380943e-05,8.763995337533042e-06,6.015667169746113e-05,2.9888390317200702e-06,2.3447341052288944e-12,43.64999999999999,107.9,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,6.272966629600457,9.693619715492229,13.822066811912656,3.428641157959137e-05,5.250422785899477e-05,4.911539410358523e-06,5.101034719347641e-05,3.583740721448685e-06,2.5534063413595052e-12,81.25,73.78,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,3.1062092524234535,16.77298100179959,17.880692120360976,1.896641146742638e-05,7.261114645643987e-05,7.5459566234523e-06,4.4157840076783945e-05,8.629694560520226e-06,9.809207644557905e-12,79.88,105.0,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,17.046510367517907,3.581470636945459,17.257528382429616,2.898917333857049e-05,3.878462101637711e-05,5.076544925790443e-06,3.982263413947526e-05,3.331670475235269e-06,9.676070958887376e-12,41.599999999999994,116.3,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,19.16403248295053,4.945954391503791,16.740452820216085,7.719321517176406e-06,5.142662025872551e-05,1.7912362381948128e-06,6.899693703417877e-05,8.49660338096665e-06,4.829580976644789e-12,70.33,27.420000000000005,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,3.5989938402186006,5.729497814238431,8.273668664837738,3.2559229114234445e-05,8.380510687808783e-05,7.872303496599526e-06,3.414970285087154e-05,1.911403013587076e-06,5.113174480231311e-12,79.33,15.71,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,16.51795473089381,17.754864978704656,9.046811463489908,4.171149691210519e-05,3.429936629611767e-05,5.438019315980243e-06,5.5055882997750656e-05,2.3323332349951525e-06,3.9989519772128365e-12,35.93,114.9,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,5.880222184433576,16.881603634873557,9.294431710897886,2.772330587927425e-06,8.043390376489043e-05,2.9082855745722014e-06,1.844814162570429e-05,2.720057763250243e-06,5.8922879806860445e-12,51.32,104.4,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,19.181594065613957,16.68132522131117,7.426090936959944,2.891529923284232e-05,7.540419591143514e-05,8.357487401735555e-06,9.336381554390265e-05,1.8774496018941592e-06,7.710221899395437e-12,61.300000000000004,14.15,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,9.319422796087204,11.910134208157379,8.092115246885523,3.180110535089631e-05,1.173004259022136e-05,2.7143595051986646e-06,7.679392939876108e-05,9.877680582955891e-06,8.272009713901248e-12,36.290000000000006,97.83,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,1.3776260202107498,8.41794257985979,18.010738542330728,1.1808220291644423e-05,4.4601907315662504e-05,1.8686935534715947e-06,8.102568830652528e-05,4.130537821979837e-06,4.212330156438325e-12,42.14000000000001,91.09999999999998,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,19.29457031208602,6.400572642784152,9.671509120654298,3.0763815571711596e-05,9.758892706246317e-05,9.557553396351654e-06,4.0129308625722677e-05,4.042278038345253e-06,4.860803902029741e-12,32.26,108.3,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,10.293537887458722,17.534749692585972,8.40047394857217,1.6022209085877472e-06,9.686102450640025e-06,5.00065326978817e-06,2.7473290149777068e-05,6.382117036151285e-07,2.747765652980024e-12,5.979,114.8,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,6.687335556911206,13.322778293213352,2.229602249016141,3.179530916412884e-05,2.811645147771436e-05,2.266619275688497e-06,4.905809803406736e-05,3.860008274722297e-06,1.865818178708378e-12,32.79,97.54,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,19.227482391470552,9.263752399676708,4.4800354359901435,3.939966131336309e-05,9.452231785862794e-05,5.404898167430622e-06,2.8234792839192418e-05,9.141010282353513e-06,8.7957957145167e-12,14.31,99.45000000000002,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,15.79458022180408,4.496214976806863,4.917997406501849,4.537236171096508e-05,1.1777028745118601e-05,4.0359682539899316e-06,1.2006878361849577e-05,6.9795735039592785e-06,1.1805983950833785e-12,5.858,114.4,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,17.016347236473557,16.11797089330976,9.679984825111893,3.701193254928948e-05,5.797196276212239e-05,4.7819878841968596e-06,2.7321134435343508e-05,8.713729892870822e-06,1.617900993266797e-12,22.81,94.83,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,14.481659094303172,16.04079140123622,1.8419185064105883,3.1408360638229086e-05,2.521127113841914e-05,4.5589342953873694e-06,7.91141956769982e-05,5.550216047372271e-06,1.1173368888552365e-12,23.429999999999996,94.06,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,1,20,8.827440043314873,10.451817892602561,17.087348224068027,4.133707687471082e-06,1.0461423302918214e-05,9.75400236786458e-06,6.805104929493306e-05,3.9623280825461755e-06,9.81322051284184e-12,29.29,93.09,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,2,40,6.272966629600457,9.693619715492229,13.822066811912656,3.428641157959137e-05,5.250422785899477e-05,4.911539410358523e-06,5.101034719347641e-05,3.583740721448685e-06,2.5534063413595052e-12,81.25,73.78,FAIL,1
nsga2_20260828_001842,20260828_001842,nsga2,2,40,3.1062092524234535,16.77298100179959,17.880692120360976,1.896641146742638e-05,7.261114645643987e-05,7.5459566234523e-06,4.4157840076783945e-05,8.629694560520226e-06,9.809207644557905e-12,79.88,105.0,FAIL,1
