run_folder,algorithm,generation,evaluations,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260822_112314,nsga2,1,5,6.260932876862046,4.05238816672741,19.42858285110652,2.594860870172957e-05,1.18518015633358e-05,6.423152677606254e-06,7.77353064999271e-05,6.323531360003884e-06,9.255679343118123e-12,70.31,104.3,FAIL,,
nsga2_20260822_112314,nsga2,2,10,4.865649572846843,5.983953468395141,19.297309266630315,2.58641098353348e-05,4.867354015083401e-05,6.835364727392012e-06,9.617722220827954e-05,7.364544609042903e-06,5.871041699926908e-12,69.21,121.8,FAIL,,
nsga2_20260822_112314,nsga2,3,15,6.2602870198512,4.052078510565102,15.437238063909444,2.594860870172957e-05,1.18518015633358e-05,6.740812347186168e-06,7.77353064999271e-05,6.323531360003884e-06,9.255679343118123e-12,76.62,134.6,FAIL,,
nsga2_20260822_112314,nsga2,4,20,6.2602870198512,4.052078510565102,15.437238063909444,2.594860870172957e-05,1.18518015633358e-05,6.740812347186168e-06,7.77353064999271e-05,6.323531360003884e-06,9.255679343118123e-12,76.62,134.6,FAIL,,
nsga2_20260822_112314,nsga2,5,25,4.890338096737728,5.946356397667664,15.778393222391696,2.58641098353348e-05,3.898873375044416e-05,7.947452691513881e-06,7.757098764640686e-05,7.364544609042903e-06,9.25519791559378e-12,83.91,140.39999999999998,FAIL,,
nsga2_20260822_120724,nsga2,1,6,6.260932876862046,4.05238816672741,19.42858285110652,2.594860870172957e-05,1.18518015633358e-05,6.423152677606254e-06,7.77353064999271e-05,6.323531360003884e-06,9.255679343118123e-12,70.31,104.3,FAIL,,
nsga2_20260822_120724,nsga2,2,12,1.7522646566198543,11.04319600194041,9.727381774822671,2.6210779915447974e-05,6.424041846319568e-05,8.535179771931887e-06,5.941621950499712e-05,6.468450430717373e-06,8.558933689282679e-12,72.51,110.9,FAIL,,
nsga2_20260822_120724,nsga2,3,18,1.7522646566198543,11.04319600194041,9.727381774822671,2.6210779915447974e-05,6.424041846319568e-05,8.535179771931887e-06,5.941621950499712e-05,6.468450430717373e-06,8.558933689282679e-12,72.51,110.9,FAIL,,
nsga2_20260822_120724,nsga2,4,24,1.7522646566198543,4.642611514433865,9.727381774822671,2.6210779915447974e-05,6.423925499053183e-05,6.223183512491517e-06,7.75968868103232e-05,6.31080921646e-06,8.558933689282679e-12,67.88,127.2,FAIL,,
nsga2_20260822_120724,nsga2,5,30,6.260932876862046,10.973763011849764,11.28170877775652,2.6207059091730375e-05,6.557232202523069e-05,8.524913998356304e-06,7.545824389793044e-05,7.15364027788821e-06,8.835071576982719e-12,73.3,145.9,FAIL,,
nsga2_20260822_184355,nsga2,1,6,4.865649572846843,5.983953468395141,15.256928779970998,1.4236315271906184e-05,4.867354015083401e-05,9.817003398111766e-06,9.617722220827954e-05,7.385504437348569e-06,5.871041699926908e-12,58.71999999999999,110.9,FAIL,,
nsga2_20260822_184355,nsga2,2,12,4.865649572846843,5.983953468395141,15.256928779970998,1.4236315271906184e-05,4.867354015083401e-05,9.817003398111766e-06,9.617722220827954e-05,7.385504437348569e-06,5.871041699926908e-12,58.71999999999999,110.9,FAIL,,
nsga2_20260825_120820,nsga2,1,20,10.615233528058086,15.916620559342222,6.60512241330487,3.850795646748557e-05,5.270526345927673e-05,1.9159562220217693e-06,9.650728407477964e-05,4.315544126940916e-06,3.657108300964262e-12,47.82,125.6,FAIL,,
nsga2_20260825_135827,nsga2,1,20,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.296794172319813e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.14,146.8,FAIL,,
nsga2_20260825_164522,nsga2,1,20,12.93391624243323,13.06929749409455,4.493898533684132,3.3747112823717942e-06,4.13282273027481e-05,7.75828584016545e-06,8.157761229268964e-05,7.434897865519616e-06,2.018844572727007e-12,76.84,136.6,FAIL,,
nsga2_20260825_164522,nsga2,2,40,12.93391624243323,13.06929749409455,4.493898533684132,3.3747112823717942e-06,4.13282273027481e-05,7.75828584016545e-06,8.157761229268964e-05,7.434897865519616e-06,2.018844572727007e-12,76.84,136.6,FAIL,,
nsga2_20260825_164522,nsga2,3,60,12.93391624243323,13.06929749409455,4.492598657619723,3.3747112823717942e-06,4.13282273027481e-05,7.757880264673431e-06,8.157761229268964e-05,7.4317523569317245e-06,1.979569491964147e-12,76.68768782604876,137.27518483864182,FAIL,,
nsga2_20260825_164522,nsga2,4,80,4.127754008304448,19.375816472549985,13.497453870731777,2.1573854139617407e-05,9.830960415406184e-05,8.785917330972259e-06,3.4617803499503814e-05,6.107905533619925e-06,7.1531593600558915e-12,81.27,145.09999999999997,FAIL,,
nsga2_20260825_164522,nsga2,5,100,4.127754008304448,19.375816472549985,13.497453870731777,2.1573854139617407e-05,9.830960415406184e-05,8.785917330972259e-06,3.4617803499503814e-05,6.107905533619925e-06,7.1531593600558915e-12,81.27,145.09999999999997,FAIL,,
nsga2_20260825_172933,nsga2,1,20,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.296794172319813e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.14,146.8,FAIL,,
nsga2_20260825_172933,nsga2,2,40,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.249222842354688e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.1125760218458,146.86340388112703,FAIL,,
nsga2_20260825_172933,nsga2,3,60,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.249222842354688e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.1125760218458,146.86340388112703,FAIL,,
nsga2_20260825_172933,nsga2,4,80,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.249222842354688e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.1125760218458,146.86340388112703,FAIL,,
nsga2_20260825_172933,nsga2,5,100,7.47999589101123,8.442493690699047,10.507625216390691,1.7872368518808067e-05,5.634897034966992e-05,7.093487535655823e-06,9.934278640407718e-05,7.51149180235619e-06,5.414962014354169e-12,83.69,143.60000000000002,FAIL,,
nsga2_20260825_181403,nsga2,1,20,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.296794172319813e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.14,146.8,FAIL,,
nsga2_20260825_181403,nsga2,2,40,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.296794172319813e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.14,146.8,FAIL,,
nsga2_20260825_181403,nsga2,3,60,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.296794172319813e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.14,146.8,FAIL,,
nsga2_20260825_181403,nsga2,4,80,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.296794172319813e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.14,146.8,FAIL,,
nsga2_20260825_181403,nsga2,5,100,7.499920681322235,8.57237653389678,19.10630538311683,2.3871849621779752e-05,5.114647032596112e-05,8.566361473899365e-06,6.320411122728866e-05,7.850510196029824e-06,6.149958899802797e-12,79.98,148.1,FAIL,,
nsga2_20260825_185716,nsga2,1,20,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.296794172319813e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.14,146.8,FAIL,,
